     4.00000    160.78955
     4.00000    330.47607
     4.00000    139.75134
     6.00000    693.11455
     6.00000   1497.76658
     6.00000    524.20968
     8.00000   1708.67490
     8.00000   3713.31086
     8.00000   1160.33045
    10.00000   1800.00000
    10.00000   4001.93329
    10.00000   1120.92157
    12.00000   1665.66379
    12.00000   3660.07800
    12.00000   1077.42781
    14.00000   1251.52558
    14.00000   2805.33747
    14.00000    754.84345
    16.00000   1079.36242
    16.00000   2385.93458
    16.00000    723.75937
    18.00000    801.61509
    18.00000   1763.54808
    18.00000    538.33413
    21.00000    671.62588
    21.00000   1472.79485
    21.00000    444.06156
